4348,集安,通化,11:04:00
4355,四平,通辽,06:12:00
4357,通辽,四平,16:25:00
4368,库伦,通辽,19:10:00
4370,通辽,库伦,07:10:00
4372,库伦,霍林郭勒,10:05:00
4374,霍林郭勒,库伦,08:55:00
4375,长春,榆树,07:55:00
4377,榆树,长春,10:19:00
4415,北京,张家口南,14:31:00
4416,张家口南,北京,08:07:00
4464,阳泉,临西,11:16:00
4465,石家庄北,阳泉,08:23:00
4466,阳泉,石家庄北,17:12:00
4471,北京北,承德,09:12:00
4473,承德,北京北,06:45:00
4481,天津,涉县,07:01:00
4482,涉县,天津,08:36:00
4611,太原,介休,07:17:00
4612,介休,太原,15:23:00
4615,宁武,太原,17:38:00
4616,太原,宁武,08:29:00
4627,临汾,运城,09:42:00
4628,运城,临汾,11:00:00
4629,大同,朔州,06:46:00
4630,朔州,大同,17:50:00
4635,忻州,太原,08:06:00
4636,太原,忻州,16:52:00
4641,大同,朔州,15:45:00
4642,朔州,大同,19:12:00
4643,太原,柳林南,17:28:00
4652,呼和浩特,二连,21:59:00
4654,二连,呼和浩特,13:45:00
4706,南阳,洛阳,10:02:00
4708,洛阳,邓州,11:02:00
4717,郑州,邓州,07:07:00
4718,邓州,南阳,15:10:00
4720,南阳,郑州,15:40:00
4732,南阳,洛阳,12:19:00
4734,洛阳,邓州,07:19:00
4741,南阳,邓州,06:47:00
4742,邓州,南阳,11:22:00
4744,邓州,南阳,17:27:00
4746,邓州,南阳,19:30:00
4811,宜昌东,恩施,09:40:00
4812,恩施,宜昌东,17:12:00
5005,枣庄西,临沂,07:42:00
5006,临沂,枣庄西,11:20:00
5007,枣庄西,临沂,13:50:00
5008,临沂,枣庄西,16:22:00
5014,烟台,菏泽,17:30:00
5018,烟台,曹县,08:45:00
5020,曹县,烟台,20:23:00
5022,青岛,曹县,20:05:00
5024,曹县,青岛,09:06:00
5026,青岛,曹县,08:42:00
5028,曹县,青岛,21:37:00
5036,枣庄西,烟台,20:12:00
5038,青岛北,枣庄西,19:48:00
5040,菏泽,威海,09:18:00
5042,威海,菏泽,19:40:00
5045,济南,济宁,08:48:00
5046,济宁,济南,17:36:00
5365,长沙,韶山,06:30:00
5366,韶山,长沙,17:30:00
5505,桂林北,茂名西,08:30:00
5506,茂名西,桂林北,09:15:00
5511,南宁,凭祥,07:55:00
5512,凭祥,南宁,14:00:00
5517,南宁,崇左,15:22:00
5518,崇左,南宁,18:10:00
5538,湛江,金城江,12:20:00
5540,金城江,湛江,08:00:00
5609,重庆北,秀山,08:20:00
5610,秀山,重庆北,07:23:00
5611,内江,重庆,10:20:00
